Age,Account_Duration_Months,Num_Transactions,Subscription_Type,Region,Payment_Method,Previous_Expenditure,Monthly_Expenditure
75,92,45,Standard,South,Credit Card,24.55,116.87
58,42,25,Basic,West,Bank Transfer,89.94,63.23
45,61,42,Basic,East,Credit Card,124.32,111.29
24,22,36,Standard,North,Digital Wallet,188.05,96.99
26,21,27,Basic,East,Credit Card,69.24,44.61
25,70,38,Basic,East,Digital Wallet,57.46,90.87
29,1,7,Basic,South,Credit Card,134.29,23.95
51,5,5,Premium,East,Digital Wallet,127.66,83.42
50,105,43,Standard,South,Digital Wallet,73.1,113.4
65,12,45,Standard,West,Credit Card,186.34,130.04
72,90,31,Basic,North,Credit Card,170.52,93.9
40,46,23,Premium,East,Digital Wallet,52.56,127.74
79,34,42,Standard,North,Auto-Pay,55.44,118.13
41,49,10,Basic,East,Bank Transfer,107.34,43.08
54,78,32,Premium,North,Auto-Pay,156.98,160.5
52,90,43,Basic,East,Auto-Pay,18.37,72.71
61,45,30,Standard,East,Credit Card,141.73,111.97
57,27,39,Standard,East,Bank Transfer,133.16,102.84
39,73,31,Basic,East,Auto-Pay,53.98,79.57
44,26,18,Premium,East,Credit Card,139.46,116.3
52,47,36,Standard,East,Auto-Pay,188.63,137.88
18,86,2,Standard,East,Auto-Pay,18.89,55.38
52,111,14,Basic,East,Credit Card,70.73,47.16
54,56,13,Basic,East,Credit Card,93.25,46.84
64,94,29,Basic,North,Credit Card,180.86,90.05
31,107,12,Standard,South,Bank Transfer,192.83,110.98
20,63,39,Basic,East,Auto-Pay,94.38,113.09
18,48,2,Standard,South,Credit Card,152.51,55.16
22,61,32,Standard,East,Digital Wallet,111.02,115.36
43,81,13,Basic,East,Auto-Pay,112.18,37.7
72,26,46,Standard,North,Digital Wallet,62.84,116.66
31,36,27,Basic,West,Bank Transfer,51.22,58.6
56,1,49,Premium,West,Credit Card,64.72,168.84
44,8,41,Standard,North,Digital Wallet,115.7,105.57
26,113,17,Basic,South,Bank Transfer,15.54,54.28
32,99,40,Basic,West,Credit Card,182.38,108.97
32,52,31,Standard,North,Digital Wallet,39.69,91.95
43,79,34,Standard,North,Digital Wallet,51.82,120.98
59,47,24,Standard,West,Bank Transfer,108.47,116.34
77,56,45,Standard,South,Credit Card,144.92,131.36
30,86,35,Basic,North,Credit Card,28.19,74.08
68,14,48,Basic,East,Digital Wallet,70.36,87.87
49,90,6,Basic,South,Digital Wallet,194.05,60.51
56,28,19,Standard,South,Digital Wallet,59.85,103.72
66,87,30,Premium,West,Credit Card,69.48,127.18
69,78,7,Standard,West,Bank Transfer,168.93,88.03
78,88,10,Basic,East,Bank Transfer,19.54,25.06
49,2,41,Standard,North,Credit Card,98.28,113.47
21,109,32,Premium,West,Auto-Pay,82.13,136.92
47,26,34,Standard,West,Bank Transfer,70.15,105.14
54,14,28,Premium,South,Digital Wallet,64.28,134.24
40,59,15,Basic,West,Auto-Pay,27.36,41.37
56,56,30,Basic,West,Auto-Pay,69.82,57.27
62,115,37,Premium,West,Bank Transfer,18.18,144.79
32,7,29,Standard,West,Auto-Pay,158.38,97.62
60,3,22,Basic,South,Auto-Pay,85.66,74.93
46,111,4,Standard,East,Bank Transfer,94.34,67.86
53,23,20,Premium,East,Bank Transfer,179.78,109.65
30,110,32,Standard,North,Auto-Pay,135.03,122.34
49,107,36,Standard,West,Digital Wallet,11.53,91.38
24,111,4,Basic,South,Credit Card,189.2,56.24
76,109,27,Standard,North,Auto-Pay,55.06,88.26
68,18,17,Standard,North,Auto-Pay,30.45,92.94
39,38,12,Premium,East,Digital Wallet,155.94,129.46
45,99,22,Premium,South,Auto-Pay,105.09,99.27
19,115,17,Premium,South,Auto-Pay,92.42,137.42
59,15,10,Basic,South,Credit Card,57.41,38.42
62,64,1,Standard,East,Credit Card,114.02,86.93
79,89,22,Standard,East,Credit Card,62.13,83.19
74,119,26,Standard,East,Bank Transfer,181.3,105.8
70,101,18,Standard,East,Bank Transfer,50.89,75.17
23,28,14,Premium,East,Credit Card,178.03,114.05
45,74,47,Standard,West,Credit Card,116.29,160.49
45,39,29,Standard,West,Bank Transfer,167.41,109.95
61,57,12,Basic,South,Digital Wallet,145.44,59.24
61,17,36,Basic,North,Auto-Pay,142.37,99.33
37,103,35,Standard,South,Auto-Pay,71.63,93.49
47,86,12,Standard,North,Credit Card,54.44,87.68
79,90,7,Basic,East,Digital Wallet,50.07,24.31
28,44,29,Basic,North,Bank Transfer,172.87,83.46
75,25,11,Standard,South,Credit Card,165.88,96.37
72,17,33,Basic,South,Digital Wallet,93.71,87.66
45,13,6,Basic,North,Digital Wallet,35.16,43.11
42,84,47,Basic,West,Digital Wallet,82.63,123.39
56,25,15,Basic,East,Bank Transfer,127.68,76.5
79,68,32,Basic,East,Bank Transfer,96.34,88.05
50,10,11,Basic,South,Auto-Pay,158.24,87.81
18,67,23,Standard,West,Auto-Pay,199.55,97.79
74,105,26,Premium,North,Digital Wallet,46.32,118.44
44,109,34,Standard,East,Digital Wallet,97.33,107.43
79,18,46,Standard,West,Bank Transfer,91.89,125.5
74,111,34,Basic,East,Auto-Pay,67.85,72.05
69,100,29,Basic,West,Digital Wallet,47.64,55.09
30,111,4,Standard,West,Auto-Pay,22.48,55.88
58,86,17,Basic,South,Auto-Pay,178.55,67.58
20,34,35,Standard,East,Digital Wallet,89.77,129.86
56,111,13,Standard,North,Bank Transfer,104.41,77.09
23,8,41,Standard,South,Digital Wallet,184.22,127.27
25,40,39,Basic,South,Digital Wallet,157.5,116.51
44,113,15,Basic,North,Auto-Pay,34.8,54.75
26,108,29,Standard,South,Digital Wallet,117.43,100.31
79,83,29,Basic,West,Bank Transfer,94.03,73.87
54,42,11,Standard,West,Digital Wallet,161.47,127.31
50,41,32,Standard,East,Bank Transfer,147.6,116.98
68,101,2,Premium,East,Bank Transfer,141.18,110.59
59,6,47,Basic,North,Auto-Pay,74.7,92.38
61,52,14,Premium,East,Credit Card,162.94,111.56
41,26,20,Standard,West,Credit Card,19.95,100.39
32,64,22,Basic,North,Auto-Pay,40.33,77.41
76,98,11,Basic,North,Digital Wallet,73.77,56.86
71,59,27,Standard,East,Auto-Pay,24.59,83.16
49,56,3,Basic,West,Bank Transfer,54.65,32.34
49,59,17,Basic,North,Credit Card,167.73,65.0
41,109,44,Basic,West,Auto-Pay,190.17,102.69
58,70,28,Premium,West,Digital Wallet,67.87,136.17
69,101,29,Standard,West,Auto-Pay,60.26,102.45
66,33,21,Standard,East,Credit Card,63.18,93.11
79,53,47,Basic,South,Auto-Pay,62.77,99.82
66,22,16,Basic,South,Auto-Pay,16.83,52.89
75,21,37,Standard,North,Credit Card,186.11,121.98
69,70,20,Standard,West,Bank Transfer,50.6,72.31
29,70,6,Basic,East,Bank Transfer,89.8,63.92
79,119,19,Standard,West,Credit Card,11.84,75.68
56,112,5,Premium,West,Auto-Pay,173.01,112.34
19,4,3,Standard,East,Credit Card,148.92,77.82
20,94,1,Standard,South,Bank Transfer,189.88,72.59
66,75,38,Premium,West,Digital Wallet,158.51,156.96
54,62,15,Basic,West,Auto-Pay,69.6,42.6
66,62,34,Standard,South,Bank Transfer,57.1,92.11
73,94,35,Premium,East,Auto-Pay,142.57,136.16
34,95,49,Basic,North,Credit Card,79.18,114.34
76,24,25,Standard,South,Digital Wallet,117.58,99.79
66,55,24,Standard,North,Credit Card,11.19,70.23
19,9,12,Standard,North,Digital Wallet,21.76,69.18
19,119,18,Standard,South,Auto-Pay,111.72,91.23
45,3,15,Premium,West,Auto-Pay,117.55,104.04
71,115,44,Standard,North,Credit Card,152.78,132.13
40,31,16,Basic,North,Digital Wallet,35.07,57.83
54,40,27,Premium,East,Digital Wallet,107.5,119.02
49,101,8,Basic,West,Auto-Pay,46.95,48.29
50,36,46,Basic,North,Credit Card,27.71,99.27
18,24,25,Standard,East,Digital Wallet,87.99,79.61
36,95,17,Standard,West,Auto-Pay,41.03,76.09
79,6,29,Standard,South,Bank Transfer,52.14,99.66
19,66,8,Premium,South,Credit Card,70.34,85.99
70,84,15,Standard,East,Bank Transfer,59.28,68.32
61,92,27,Standard,South,Credit Card,26.64,75.44
43,75,46,Basic,North,Auto-Pay,27.08,89.82
49,4,7,Premium,West,Digital Wallet,46.72,89.81
23,79,3,Premium,North,Digital Wallet,19.61,72.06
49,6,29,Standard,North,Digital Wallet,129.03,87.49
72,118,44,Basic,South,Credit Card,64.59,91.03
21,113,24,Basic,North,Auto-Pay,63.15,61.51
72,94,3,Basic,South,Bank Transfer,73.08,48.86
28,102,20,Basic,West,Auto-Pay,135.93,78.93
73,51,46,Basic,West,Bank Transfer,175.42,129.0
76,62,15,Premium,North,Credit Card,154.23,110.57
34,57,25,Standard,East,Credit Card,148.23,103.13
55,66,30,Basic,South,Bank Transfer,102.03,53.98
41,79,14,Basic,South,Bank Transfer,141.82,69.47
22,75,7,Basic,North,Bank Transfer,115.02,56.18
69,8,17,Basic,South,Auto-Pay,51.09,52.39
51,26,44,Basic,South,Bank Transfer,49.63,99.54
23,51,20,Basic,East,Credit Card,66.31,42.92
39,45,36,Standard,East,Credit Card,183.05,113.79
28,44,9,Premium,North,Digital Wallet,114.01,111.19
65,5,38,Basic,East,Bank Transfer,149.44,108.8
33,70,48,Standard,North,Auto-Pay,75.85,120.09
50,26,22,Premium,West,Auto-Pay,87.47,128.36
26,118,2,Basic,North,Auto-Pay,33.86,31.04
77,68,24,Basic,West,Digital Wallet,42.55,60.18
76,19,8,Premium,North,Credit Card,167.2,108.69
23,84,11,Basic,South,Auto-Pay,121.12,50.35
33,97,13,Standard,East,Credit Card,74.13,58.06
46,20,17,Standard,West,Digital Wallet,162.54,107.26
20,113,8,Basic,North,Bank Transfer,56.84,34.71
37,12,21,Basic,East,Bank Transfer,195.45,72.68
77,47,18,Standard,North,Bank Transfer,75.52,63.83
76,1,30,Basic,East,Auto-Pay,74.09,48.28
53,90,18,Basic,East,Bank Transfer,69.26,68.46
36,14,46,Standard,North,Auto-Pay,33.2,125.3
43,64,47,Standard,West,Digital Wallet,31.12,131.63
20,38,31,Basic,West,Digital Wallet,133.14,85.68
36,37,38,Premium,South,Auto-Pay,176.27,151.38
37,11,32,Basic,East,Credit Card,160.2,87.79
49,100,11,Premium,South,Bank Transfer,36.81,89.47
24,77,45,Standard,South,Bank Transfer,113.66,139.19
69,107,25,Standard,North,Bank Transfer,30.06,85.14
58,3,33,Standard,North,Auto-Pay,18.61,99.73
50,33,38,Premium,North,Digital Wallet,134.71,144.4
57,6,41,Basic,East,Bank Transfer,111.68,116.95
56,50,8,Standard,North,Digital Wallet,25.58,35.78
35,10,11,Basic,North,Bank Transfer,16.64,26.1
57,5,22,Basic,East,Bank Transfer,198.05,90.11
18,23,24,Basic,East,Auto-Pay,15.7,80.26
28,10,41,Premium,West,Credit Card,94.46,144.37
45,44,17,Premium,North,Auto-Pay,105.88,103.52
74,2,12,Basic,North,Bank Transfer,32.28,58.55
42,13,46,Basic,North,Bank Transfer,42.12,101.3
67,40,32,Standard,West,Credit Card,76.84,118.36
40,2,15,Standard,North,Digital Wallet,154.72,72.22
48,84,16,Basic,West,Digital Wallet,106.35,76.89
47,65,22,Standard,South,Bank Transfer,131.2,76.45
59,63,28,Standard,West,Digital Wallet,197.18,111.07
52,101,20,Premium,South,Bank Transfer,155.92,130.94
24,73,33,Basic,North,Credit Card,92.53,86.81
77,17,10,Standard,South,Credit Card,94.82,85.8
33,9,40,Standard,West,Bank Transfer,127.57,98.87
43,75,32,Standard,East,Credit Card,136.42,112.31
65,15,33,Standard,South,Auto-Pay,105.14,122.92
74,24,2,Standard,South,Auto-Pay,132.52,67.29
69,38,33,Basic,North,Credit Card,14.47,61.41
77,119,33,Premium,West,Bank Transfer,91.63,149.18
66,35,41,Standard,South,Bank Transfer,63.0,106.47
19,94,13,Basic,South,Credit Card,34.54,35.74
18,95,30,Standard,South,Digital Wallet,28.91,78.83
65,49,33,Basic,South,Auto-Pay,124.61,89.06
79,69,13,Basic,East,Digital Wallet,109.48,62.07
29,62,26,Premium,West,Bank Transfer,58.18,103.95
22,60,22,Standard,North,Bank Transfer,99.48,76.26
54,108,39,Standard,North,Digital Wallet,103.52,108.39
49,50,2,Basic,East,Credit Card,47.05,21.05
76,78,38,Standard,West,Digital Wallet,133.9,121.33
72,117,39,Basic,South,Digital Wallet,158.37,110.19
26,75,26,Basic,East,Auto-Pay,160.38,87.04
58,9,46,Premium,West,Auto-Pay,124.47,163.27
52,34,15,Standard,South,Digital Wallet,107.21,101.23
36,76,34,Standard,East,Digital Wallet,21.59,101.12
65,99,42,Basic,West,Bank Transfer,64.69,105.36
33,35,44,Premium,North,Auto-Pay,27.72,136.83
20,1,49,Standard,North,Auto-Pay,193.13,154.8
37,40,40,Standard,West,Bank Transfer,35.67,101.65
41,64,11,Standard,North,Credit Card,38.84,69.31
71,22,3,Basic,West,Auto-Pay,179.02,38.45
73,60,6,Basic,South,Auto-Pay,189.35,63.05
50,64,9,Standard,West,Credit Card,155.51,67.62
41,93,6,Basic,South,Auto-Pay,11.03,43.94
69,72,9,Basic,East,Auto-Pay,10.26,49.0
28,11,39,Premium,West,Credit Card,81.84,136.58
66,105,31,Standard,East,Credit Card,37.25,119.98
25,101,32,Standard,North,Digital Wallet,13.49,87.84
53,14,41,Standard,South,Bank Transfer,98.17,99.53
55,60,12,Standard,West,Bank Transfer,189.18,79.78
57,30,8,Basic,East,Credit Card,71.53,33.05
37,35,8,Basic,South,Credit Card,135.62,58.75
79,85,28,Basic,South,Auto-Pay,133.92,71.21
52,37,20,Basic,North,Digital Wallet,57.71,54.79
65,5,47,Standard,North,Digital Wallet,133.58,137.56
79,83,7,Basic,South,Credit Card,50.34,43.66
42,78,11,Standard,South,Auto-Pay,33.18,63.43
52,26,20,Basic,West,Auto-Pay,143.26,75.6
42,62,16,Basic,South,Bank Transfer,31.55,46.39
46,4,4,Standard,West,Bank Transfer,199.41,58.97
35,89,6,Basic,South,Auto-Pay,44.86,32.72
63,109,22,Basic,North,Bank Transfer,122.89,80.21
35,42,26,Basic,West,Credit Card,88.16,72.33
19,89,3,Basic,East,Auto-Pay,34.01,35.25
71,18,41,Standard,North,Bank Transfer,15.29,100.3
52,40,42,Basic,West,Digital Wallet,128.32,116.78
33,72,14,Basic,West,Auto-Pay,163.28,36.47
78,39,11,Standard,East,Auto-Pay,169.98,87.59
58,104,18,Basic,West,Digital Wallet,101.72,81.34
53,14,12,Premium,South,Credit Card,157.72,132.28
50,32,23,Standard,East,Digital Wallet,137.84,94.89
21,51,12,Standard,North,Auto-Pay,147.61,65.28
50,38,13,Standard,North,Credit Card,103.59,93.94
31,97,25,Basic,South,Bank Transfer,130.35,77.98
38,23,45,Standard,North,Bank Transfer,163.05,131.95
65,63,19,Basic,West,Bank Transfer,85.6,53.88
37,15,46,Premium,West,Auto-Pay,163.14,150.32
73,97,36,Basic,South,Digital Wallet,122.48,102.79
25,25,45,Standard,North,Credit Card,41.52,123.02
24,17,8,Standard,North,Bank Transfer,14.69,57.82
20,97,29,Basic,South,Credit Card,78.92,67.17
34,111,32,Basic,East,Auto-Pay,113.87,74.0
50,119,44,Standard,North,Bank Transfer,169.57,116.75
65,66,18,Premium,East,Auto-Pay,34.22,98.66
29,78,6,Basic,North,Digital Wallet,162.04,42.69
76,53,18,Standard,North,Auto-Pay,173.97,76.38
68,104,19,Premium,North,Auto-Pay,38.63,115.51
39,104,22,Premium,North,Digital Wallet,171.8,114.89
72,51,37,Basic,West,Credit Card,198.38,120.66
39,39,32,Standard,East,Digital Wallet,148.1,116.89
63,51,41,Basic,East,Digital Wallet,159.11,112.05
47,70,3,Premium,North,Auto-Pay,198.94,126.67
55,6,28,Standard,North,Credit Card,125.04,88.08
55,67,10,Basic,East,Bank Transfer,68.5,58.51
62,7,35,Standard,West,Digital Wallet,169.13,117.4
68,51,29,Basic,South,Credit Card,126.75,116.77
71,72,15,Premium,South,Digital Wallet,120.43,109.54
25,42,33,Premium,East,Digital Wallet,58.19,122.97
44,64,7,Standard,North,Digital Wallet,153.7,80.86
44,116,12,Basic,North,Digital Wallet,25.52,41.52
51,15,49,Standard,West,Auto-Pay,185.61,134.79
38,111,30,Basic,South,Credit Card,71.91,66.04
47,29,21,Basic,West,Credit Card,34.28,76.49
50,33,31,Premium,South,Credit Card,94.05,119.15
45,116,24,Basic,East,Digital Wallet,18.07,63.64
64,94,20,Basic,South,Auto-Pay,140.08,86.89
50,103,37,Premium,West,Digital Wallet,181.51,168.48
22,27,4,Basic,West,Digital Wallet,169.08,45.24
77,36,28,Basic,West,Credit Card,34.2,68.51
78,29,44,Premium,East,Digital Wallet,33.99,140.2
65,38,20,Basic,South,Bank Transfer,164.55,59.51
36,57,24,Standard,South,Digital Wallet,185.61,112.09
21,97,49,Premium,West,Bank Transfer,97.53,159.64
52,101,32,Premium,South,Digital Wallet,104.8,153.61
66,27,41,Standard,North,Auto-Pay,70.47,105.49
34,55,36,Basic,North,Auto-Pay,179.91,115.75
61,33,34,Basic,North,Credit Card,132.53,107.84
45,68,36,Premium,South,Digital Wallet,64.77,136.53
47,86,2,Premium,East,Bank Transfer,66.77,59.32
46,66,15,Standard,East,Bank Transfer,179.33,85.55
63,10,34,Basic,East,Digital Wallet,12.59,97.47
70,5,36,Basic,East,Bank Transfer,71.32,91.76
23,74,6,Basic,North,Auto-Pay,115.33,55.77
52,97,39,Standard,North,Bank Transfer,38.16,105.75
77,118,42,Standard,West,Credit Card,27.5,108.29
58,38,12,Premium,South,Auto-Pay,164.9,93.23
54,13,3,Standard,South,Auto-Pay,179.94,83.73
41,31,45,Basic,East,Auto-Pay,166.49,127.48
46,47,18,Standard,North,Digital Wallet,180.77,85.01
66,100,40,Standard,East,Digital Wallet,115.09,118.42
63,109,21,Standard,West,Auto-Pay,164.33,95.53
70,88,15,Standard,South,Digital Wallet,82.97,83.49
48,52,33,Premium,South,Bank Transfer,136.59,135.86
52,56,35,Premium,East,Digital Wallet,197.88,165.96
77,15,26,Basic,West,Digital Wallet,52.89,71.64
50,29,8,Basic,South,Auto-Pay,84.08,16.52
69,8,36,Standard,West,Credit Card,101.21,117.94
78,5,48,Basic,West,Credit Card,36.22,113.29
38,29,30,Basic,East,Credit Card,25.4,56.89
49,47,23,Basic,North,Bank Transfer,167.65,87.0
40,68,42,Standard,East,Digital Wallet,195.59,156.3
50,76,44,Basic,North,Credit Card,86.9,102.88
20,45,14,Standard,West,Auto-Pay,26.65,79.7
35,2,14,Premium,North,Credit Card,22.5,90.82
42,27,2,Basic,West,Credit Card,179.35,51.79
59,95,37,Basic,South,Digital Wallet,98.12,90.71
48,115,5,Basic,South,Digital Wallet,70.81,35.88
71,115,38,Premium,South,Digital Wallet,100.53,143.86
75,36,45,Basic,East,Bank Transfer,70.48,82.25
20,36,41,Basic,East,Bank Transfer,102.92,93.97
57,26,47,Basic,West,Credit Card,173.32,135.4
63,43,14,Standard,South,Digital Wallet,122.54,70.97
41,27,39,Standard,East,Credit Card,141.98,109.05
67,69,25,Standard,South,Auto-Pay,79.29,93.48
49,20,20,Premium,East,Auto-Pay,150.32,126.33
64,11,2,Basic,North,Digital Wallet,136.66,51.23
39,74,39,Premium,North,Digital Wallet,32.72,133.99
40,104,6,Basic,South,Auto-Pay,118.8,49.68
19,38,17,Premium,West,Digital Wallet,58.78,101.06
44,6,25,Standard,East,Bank Transfer,162.78,88.81
59,72,28,Premium,East,Bank Transfer,90.93,127.73
